Sample in Buffer,Sample in Window,TRIGGER,pynq_z2_i/top_0_ila_ab_edge,pynq_z2_i/top_0_ila_z_edge,pynq_z2_i/top_0_ila_ab_count[7:0],pynq_z2_i/top_0_ila_ppr_conf[7:0],pynq_z2_i/top_0_ila_ab_period[31:0],pynq_z2_i/top_0_ila_angle_angfac[31:0],pynq_z2_i/top_0_ila_angle_nco_ab_inc[31:0],pynq_z2_i/top_0_ila_angle_nco_clk_inc[31:0],pynq_z2_i/top_0_ila_angle_nco_clk_inc_valid,pynq_z2_i/top_0_ila_ref_edge,pynq_z2_i/top_0_ila_phase_ref_det,pynq_z2_i/top_0_ila_phase_ref_found,pynq_z2_i/top_0_ila_phase_eng,pynq_z2_i/top_0_ila_phase_ref_angfac[31:0],pynq_z2_i/top_0_ila_phase_ref_det_cnt[15:0],pynq_z2_i/top_0_ila_sync_state[1:0],pynq_z2_i/top_0_ila_sync_full,pynq_z2_i/top_0_ila_pll_angfac[31:0],pynq_z2_i/top_0_ila_pll_nco_accum[31:0],pynq_z2_i/top_0_ila_pll_err_angfac[31:0],pynq_z2_i/top_0_ila_pll_p_term[31:0],pynq_z2_i/top_0_ila_pll_i_term[31:0],pynq_z2_i/top_0_ila_pll_pi_corr[31:0],pynq_z2_i/top_0_ila_pll_div_valid,pynq_z2_i/top_0_ila_ang_angfac[31:0],pynq_z2_i/top_0_ila_tdc_deg[15:0],pynq_z2_i/top_0_ila_trig_pulse,pynq_z2_i/top_0_ila_trig_count[31:0],pynq_z2_i/top_0_ila_fault_cam_tooth,pynq_z2_i/top_0_ila_fault_crank_tooth,pynq_z2_i/top_0_ila_fault_crank_ab,pynq_z2_i/top_0_ila_fault_pll_phase,pynq_z2_i/top_0_ila_fault_speed_calc
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,0,37,60,0001871c,edd9d8a2,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eab23058,eab23058,fcd9ffaa,00000000,00000000,00000000,1,3990476962,3344,1,00000d11,0,0,0,1,0
1,1,0,0,0,37,60,0001871c,edec0ff2,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eac467a8,eac467a8,fcd9ffaa,00000000,00000000,00000000,1,3991670770,3345,1,00000d12,0,0,0,1,0
2,2,0,0,0,37,60,0001871c,edfe4478,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ead69c2e,ead69c2e,fcd9ffaa,00000000,00000000,00000000,1,3992863864,3346,1,00000d13,0,0,0,1,0
3,3,0,0,0,37,60,0001871c,ee1078fe,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eae8d0b4,eae8d0b4,fcd9ffaa,00000000,00000000,00000000,1,3994056958,3347,1,00000d14,0,0,0,1,0
4,4,0,0,0,37,60,0001871c,ee22b04e,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eafb0804,eafb0804,fcd9ffaa,00000000,00000000,00000000,1,3995250766,3348,1,00000d15,0,0,0,1,0
5,5,0,0,0,37,60,0001871c,ee34e4d4,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eb0d3c8a,eb0d3c8a,fcd9ffaa,00000000,00000000,00000000,1,3996443860,3349,1,00000d16,0,0,0,1,0
6,6,0,0,0,37,60,0001871c,ee47195a,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eb1f7110,eb1f7110,fcd9ffaa,00000000,00000000,00000000,1,3997636954,3350,1,00000d17,0,0,0,1,0
7,7,0,0,0,37,60,0001871c,ee5950aa,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eb31a860,eb31a860,fcd9ffaa,00000000,00000000,00000000,1,3998830762,3351,1,00000d18,0,0,0,1,0
8,8,0,0,0,37,60,0001871c,ee6b8530,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eb43dce6,eb43dce6,fcd9ffaa,00000000,00000000,00000000,1,4000023856,3352,1,00000d19,0,0,0,1,0
9,9,0,0,0,37,60,0001871c,ee7db9b6,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eb56116c,eb56116c,fcd9ffaa,00000000,00000000,00000000,1,4001216950,3353,1,00000d1a,0,0,0,1,0
10,10,0,0,0,37,60,0001871c,ee8ff106,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eb6848bc,eb6848bc,fcd9ffaa,00000000,00000000,00000000,1,4002410758,3354,1,00000d1b,0,0,0,1,0
11,11,0,0,0,37,60,0001871c,eea2258c,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eb7a7d42,eb7a7d42,fcd9ffaa,00000000,00000000,00000000,1,4003603852,3355,1,00000d1c,0,0,0,1,0
12,12,0,0,0,37,60,0001871c,eeb45a12,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eb8cb1c8,eb8cb1c8,fcd9ffaa,00000000,00000000,00000000,1,4004796946,3356,1,00000d1d,0,0,0,1,0
13,13,0,0,0,37,60,0001871c,eec69162,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eb9ee918,eb9ee918,fcd9ffaa,00000000,00000000,00000000,1,4005990754,3357,1,00000d1e,0,0,0,1,0
14,14,0,0,0,37,60,0001871c,eed8c5e8,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ebb11d9e,ebb11d9e,fcd9ffaa,00000000,00000000,00000000,1,4007183848,3358,1,00000d1f,0,0,0,1,0
15,15,0,0,0,37,60,0001871c,eeeafa6e,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ebc35224,ebc35224,fcd9ffaa,00000000,00000000,00000000,1,4008376942,3359,1,00000d20,0,0,0,1,0
16,16,0,0,0,38,60,0001871b,eefd31c2,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ebd453de,ebd453de,fcd857b6,00000000,00000000,00000000,1,4009570754,3360,1,00000d21,0,0,0,1,0
17,17,0,0,0,38,60,0001871b,ef0f6648,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ebe68864,ebe68864,fcd857b6,00000000,00000000,00000000,1,4010763848,3361,1,00000d22,0,0,0,1,0
18,18,0,0,0,38,60,0001871b,ef219ace,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ebf8bcea,ebf8bcea,fcd857b6,00000000,00000000,00000000,1,4011956942,3362,1,00000d23,0,0,0,1,0
19,19,0,0,0,38,60,0001871b,ef33d21e,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ec0af43a,ec0af43a,fcd857b6,00000000,00000000,00000000,1,4013150750,3363,1,00000d24,0,0,0,1,0
20,20,0,0,0,38,60,0001871b,ef4606a4,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ec1d28c0,ec1d28c0,fcd857b6,00000000,00000000,00000000,1,4014343844,3364,1,00000d25,0,0,0,1,0
21,21,0,0,0,38,60,0001871b,ef583b2a,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ec2f5d46,ec2f5d46,fcd857b6,00000000,00000000,00000000,1,4015536938,3365,1,00000d26,0,0,0,1,0
22,22,0,0,0,38,60,0001871b,ef6a6fb0,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ec4191cc,ec4191cc,fcd857b6,00000000,00000000,00000000,1,4016730032,3366,1,00000d27,0,0,0,1,0
23,23,0,0,0,38,60,0001871b,ef7ca700,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ec53c91c,ec53c91c,fcd857b6,00000000,00000000,00000000,1,4017923840,3367,1,00000d28,0,0,0,1,0
24,24,0,0,0,38,60,0001871b,ef8edb86,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ec65fda2,ec65fda2,fcd857b6,00000000,00000000,00000000,1,4019116934,3368,1,00000d29,0,0,0,1,0
25,25,0,0,0,38,60,0001871b,efa1100c,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ec783228,ec783228,fcd857b6,00000000,00000000,00000000,1,4020310028,3369,1,00000d2a,0,0,0,1,0
26,26,0,0,0,38,60,0001871b,efb3475c,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ec8a6978,ec8a6978,fcd857b6,00000000,00000000,00000000,1,4021503836,3370,1,00000d2b,0,0,0,1,0
27,27,0,0,0,38,60,0001871b,efc57be2,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ec9c9dfe,ec9c9dfe,fcd857b6,00000000,00000000,00000000,1,4022696930,3371,1,00000d2c,0,0,0,1,0
28,28,0,0,0,38,60,0001871b,efd7b068,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ecaed284,ecaed284,fcd857b6,00000000,00000000,00000000,1,4023890024,3372,1,00000d2d,0,0,0,1,0
29,29,0,0,0,38,60,0001871b,efe9e7b8,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ecc109d4,ecc109d4,fcd857b6,00000000,00000000,00000000,1,4025083832,3373,1,00000d2e,0,0,0,1,0
30,30,0,0,0,38,60,0001871b,effc1c3e,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ecd33e5a,ecd33e5a,fcd857b6,00000000,00000000,00000000,1,4026276926,3374,1,00000d2f,0,0,0,1,0
31,31,0,0,0,38,60,0001871b,f00e50c4,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ece572e0,ece572e0,fcd857b6,00000000,00000000,00000000,1,4027470020,3375,1,00000d30,0,0,0,1,0
32,32,0,0,0,38,60,0001871b,f0208814,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ecf7aa30,ecf7aa30,fcd857b6,00000000,00000000,00000000,1,4028663828,3376,1,00000d31,0,0,0,1,0
33,33,0,0,0,38,60,0001871b,f032bc9a,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ed09deb6,ed09deb6,fcd857b6,00000000,00000000,00000000,1,4029856922,3377,1,00000d32,0,0,0,1,0
34,34,0,0,0,38,60,0001871b,f044f120,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ed1c133c,ed1c133c,fcd857b6,00000000,00000000,00000000,1,4031050016,3378,1,00000d33,0,0,0,1,0
35,35,0,0,0,38,60,0001871b,f0572870,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ed2e4a8c,ed2e4a8c,fcd857b6,00000000,00000000,00000000,1,4032243824,3379,1,00000d34,0,0,0,1,0
36,36,0,0,0,38,60,0001871b,f0695cf6,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ed407f12,ed407f12,fcd857b6,00000000,00000000,00000000,1,4033436918,3380,1,00000d35,0,0,0,1,0
37,37,0,0,0,38,60,0001871b,f07b917c,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ed52b398,ed52b398,fcd857b6,00000000,00000000,00000000,1,4034630012,3381,1,00000d36,0,0,0,1,0
38,38,0,0,0,38,60,0001871b,f08dc8cc,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ed64eae8,ed64eae8,fcd857b6,00000000,00000000,00000000,1,4035823820,3382,1,00000d37,0,0,0,1,0
